RSI,MA_FAST,MA_SLOW,RESULT
32.96588281123266,65032.6206547627,64942.337072226124,0
29.409858259149516,64981.344850396665,64925.10826658518,0
21.067714498153265,64913.55899610483,64898.201339683794,0
19.789112749544415,64830.29813625801,64868.714749211984,0
11.537738544020144,64745.67982418408,64837.18341105109,1
11.623202803782291,64642.300022254174,64797.69501882451,1
15.173605158956079,64537.3721771681,64766.460692466964,1
19.821926108753132,64442.62558219716,64741.34699876413,1
27.928321324232982,64346.83695111488,64727.385113176286,1
35.605541185614,64260.659568230294,64711.62382816181,0
42.96953185389915,64174.72222933429,64701.7532784032,0
33.85458900780273,64082.72104139929,64674.700831669994,0
37.27403880829078,63998.71172567364,64646.23823307044,0
37.971236581358234,63910.12445938082,64613.86480881919,0
32.819696113697034,63840.78502447279,64580.84659836112,0
39.16800564086739,63787.90926322264,64554.25544657462,0
40.12503346387721,63725.86653971711,64518.65122657296,0
36.49126861881262,63636.83067020464,64476.3286281849,1
42.896679297498586,63561.19896159614,64441.89740203511,1
49.387617682761736,63498.62590303579,64415.484753621386,1
47.7094612236519,63429.245313227606,64393.45385074774,0
41.04625200448365,63367.24469583008,64360.61942535412,0
40.84404039071624,63333.39481545282,64321.907206826785,1
38.848407962425604,63309.96388699686,64285.09624327846,1
32.7263615792655,63301.863071372136,64248.030726605364,1
35.66495911079876,63296.08583828134,64207.6012072545,1
31.488186342783024,63280.32178381635,64169.208635913965,1
38.29864031723171,63264.17632774749,64128.666683053096,1
47.944816046032365,63253.414141748115,64085.93918950784,0
43.95049040596386,63228.29882311191,64045.479225892435,0
50.62999346238579,63188.275431597474,64004.35192391951,0
60.50034082304596,63167.92105109106,63964.3773307173,0
58.68262673493849,63145.81148107445,63927.18326585022,0
51.80435830767187,63123.18732005295,63882.92129876116,0
37.10060229031165,63079.095550915634,63832.33043762329,1
46.92641888254929,63041.3273254727,63784.64477372826,0
51.5707892004193,63038.808944300356,63741.22491319266,0
46.16675658239649,63047.677650590675,63695.92405791304,0
42.00056541424299,63039.54409575097,63642.7843178498,0
45.677565165678566,63025.16167551228,63588.505568334855,0
46.610184202097656,63007.53688987756,63528.60828360036,0
47.32352608376624,63008.66642406173,63478.78189439422,0
40.95715525632647,63002.90405631652,63430.56916399869,1
39.22101475809041,62982.41243134699,63379.47319485308,1
35.74650864995445,62947.883666721405,63333.792417443125,1
40.555361161160064,62933.784454356704,63295.917987706765,1
42.0292212643045,62929.93283786095,63263.69599995249,1
48.35857921071388,62928.30848337087,63231.9234277313,0
56.35591380673114,62903.730349145575,63199.10548189247,0
58.64845309764371,62900.80194994931,63176.913599600986,0
44.23133000389237,62882.93333536056,63144.47699615865,1
49.63418082722926,62873.777622066074,63121.350439385074,0
46.46005868394278,62842.77715101051,63098.87052781248,1
44.266287300798346,62809.68403913856,63074.67565991338,1
50.532940332439935,62821.14300714681,63062.51571080838,1
49.99316042581212,62828.98792768335,63059.319935899926,1
48.05950831960063,62813.42375459338,63051.64554416278,1
48.921684568598124,62798.795209671254,63038.391908902675,0
53.880412564455966,62795.83941954669,63022.38530522252,0
52.69646659107711,62799.39604455362,63004.000158864175,0
54.84682488278127,62817.343502224656,62985.6567927565,0
49.54031798579527,62820.773434077986,62974.002851465695,0
47.323599540378915,62807.53912087999,62954.10012208124,0
40.350382396143786,62803.8007222562,62936.94370000324,0
44.89685227740356,62808.672109762905,62920.94725155918,0
36.77678808991369,62791.88081837393,62897.50660976728,0
45.343337317930775,62772.07110372644,62882.177825556224,0
48.009255144354505,62739.5246527571,62873.00102075227,0
40.39252045467922,62719.72519135968,62862.51597379789,0
30.459471105128998,62672.59691896509,62846.5020059727,0
36.352499043771566,62647.77269694434,62831.88794964533,1
33.25383743873532,62602.681482742,62815.52515414985,1
29.860931267713894,62568.4087823147,62792.876114557235,1
25.450404122246283,62539.61025339349,62766.53420647204,1
28.994860976490813,62512.6196793174,62746.81835398649,1
35.47581107179349,62485.163716382034,62734.951087140216,1
48.01253217385858,62473.941882644234,62729.093583693924,1
53.77661997980894,62482.07918966806,62725.553053670905,1
66.94868208491735,62525.23859694165,62731.11508729994,1
73.62340565235121,62563.67248498321,62738.1496236127,1
75.68360539978045,62603.79458842926,62751.86445548921,1
78.36934697440854,62658.6053844654,62770.27658481544,1
79.30955315133657,62739.49435616948,62791.57327211925,1
85.73893591419011,62836.55603778349,62822.291187095456,0
83.16678218152998,62933.998897462734,62862.908590178005,1
87.45911744849268,63039.4612439501,62896.76017715824,1
92.43671876734842,63145.144556419145,62924.712070403744,1
92.80077059405481,63251.13200870992,62954.38276399997,1
92.06177262283286,63357.239347465955,62989.59407448389,1
92.48347805889618,63487.91861607441,63031.60478219755,0
88.7584046288957,63608.94931215254,63072.452918555326,0
85.43547436554375,63740.10420057228,63108.10026475407,0
80.18125371523855,63881.27951292427,63144.22629720033,0
78.20703696375548,64022.60078332686,63182.609547263986,0
60.46921024313704,64127.36381129973,63218.61041181782,0
52.76685017691641,64218.477309160124,63248.82822906157,0
51.222946624744736,64305.6926144002,63279.39749430962,0
49.419466899704425,64393.112616816186,63311.47470704903,0
45.72711232108832,64432.958112198685,63342.80619252118,0
42.85081710402132,64460.794892913276,63362.14680079828,0
41.23061143397802,64474.73000242376,63388.58312231449,0
34.78351653129339,64457.78280874145,63403.878659485585,1
31.820038746250745,64426.425587996186,63425.03264691351,1
18.77805503752559,64359.965550475,63442.40379163003,1
27.81648715207737,64311.38925626208,63459.007089824125,1
26.877226692131174,64260.10650074503,63469.20760638291,1
33.9716094591421,64222.15443195655,63488.204341349,0
39.01239507436749,64197.16457442187,63513.73050990022,0
42.341199568623914,64162.526535380246,63536.26892081731,0
40.984421845996955,64101.541412119615,63552.462929223955,1
37.71962557880554,64043.402298594374,63562.876437103216,1
30.806560791092195,63987.263508452495,63574.69629450386,1
35.48827564913795,63932.84307771486,63594.347879934285,0
36.58981063254754,63872.940398342194,63610.26541769838,0
40.07047463918996,63839.64172598487,63630.9982583066,0
48.887259707544665,63814.79761060454,63657.99494595381,0
49.34650839277059,63779.67581123467,63682.43937731291,0
54.3455747327652,63723.058137801316,63704.88810106672,0
46.21555656845268,63676.137800212324,63725.37123606224,1
45.970504089034975,63632.64127409739,63746.1645428512,1
34.29317851832384,63589.42679690409,63765.2447622984,1
23.65335540262042,63567.822657211786,63789.93512927349,1
29.566475241178722,63553.28529238411,63818.98325094128,1
53.00916068206441,63573.77077224867,63856.06799917211,1
53.50008723944963,63579.24119191782,63885.65569486428,1
60.47738403630348,63602.45090180171,63916.12248055077,1
59.853244713901255,63611.42814379197,63943.1988458081,0
64.56179451478314,63606.88772922865,63963.65392572446,0
59.06834723027285,63607.61889494279,63969.221040017765,0
56.68270711202813,63618.48139293373,63974.38649240416,0
61.963778289941175,63634.07702549362,63974.98941192896,0
59.49065147311083,63641.1259166439,63967.70450737527,1
49.3013856570637,63630.059934520206,63950.57411127457,1
59.34407461580054,63633.302359226545,63928.96394627561,1
63.53121605850993,63638.06207352349,63912.62352873092,1
66.26306442714485,63647.62486559847,63901.260394613164,1
65.84947735849246,63662.14132942616,63889.23808651572,1
61.42303672900608,63691.450446082556,63881.015476015775,0
65.72501739901244,63729.74270283013,63874.372578207905,0
64.8036845480619,63784.08026568552,63864.62920269565,0
57.473688964190806,63829.23803337866,63853.36025078884,0
52.31135050366551,63862.571896248046,63838.922207543794,0
50.87760367463789,63889.40299381515,63822.23264329763,0
51.09301485473875,63898.39782619011,63806.38681631739,0
48.422023488391275,63906.29789449073,63797.22932814069,1
44.257972247095054,63885.38508080674,63782.88558920943,1
58.97993459037977,63879.393319274335,63772.67912775776,0
54.9014721183728,63873.043540872066,63755.6262953468,0
51.56942446309674,63869.61239933508,63743.88275487232,0
53.911378356878636,63879.215011797394,63741.75453995781,0
43.232568098472335,63862.57022448722,63730.125500754344,1
37.872102575152276,63850.40170611012,63724.75206632274,1
32.92598062402007,63849.01541883167,63719.61004360877,1
27.35669275048423,63837.723057163974,63720.0669489512,1
29.096405443717828,63815.71459126333,63714.353662731395,1
41.17407936045178,63800.72111501909,63717.506240322786,0
46.04276832590907,63790.91250734658,63716.74131667172,0
50.28849298696924,63783.01200608581,63715.354448681355,0
51.480723637914984,63768.448417282976,63716.741330969,0
53.582441196843504,63732.01480442914,63716.81855961946,0
37.702209148386615,63683.37962943727,63709.351183126004,0
34.14492275012577,63630.41989518462,63696.184762236655,1
35.05796932345085,63584.94351044117,63683.07281638815,1
28.643916684861907,63539.958663920115,63673.19412254857,1
34.671722507995796,63495.29139219482,63659.48919462468,1
35.16786338005522,63465.7052547155,63643.24864685381,1
47.55716604072324,63439.019406869265,63636.41656601159,1
